YearAndMonth,Year,RegionName,Metro,State,SizeRank,Price Reduction
2011-03,2011,Crosby,Houston-The Woodlands-Sugar Land,TX,2007,5.224
2011-03,2011,Alvin,Houston-The Woodlands-Sugar Land,TX,2307,6.403
2011-03,2011,Helotes,San Antonio-New Braunfels,TX,2392,2.786
2011-03,2011,Floresville,San Antonio-New Braunfels,TX,2409,7.064
2011-03,2011,Manvel,Houston-The Woodlands-Sugar Land,TX,2658,3.861
2011-03,2011,Bellaire,Houston-The Woodlands-Sugar Land,TX,2715,3.269
2011-03,2011,Dickinson,Houston-The Woodlands-Sugar Land,TX,2842,6.313
2011-03,2011,Angleton,Houston-The Woodlands-Sugar Land,TX,2883,4.696
2011-03,2011,Spring Branch,San Antonio-New Braunfels,TX,2922,4.183
2011-03,2011,La Marque,Houston-The Woodlands-Sugar Land,TX,2945,7.014
2011-03,2011,Pecan Grove,Houston-The Woodlands-Sugar Land,TX,3019,2.627
2011-03,2011,Canyon Lake,San Antonio-New Braunfels,TX,3113,4.94
2011-03,2011,Timberwood Park,San Antonio-New Braunfels,TX,3224,3.334
2011-03,2011,Seabrook,Houston-The Woodlands-Sugar Land,TX,3256,4.157
2011-03,2011,Sienna Plantation,Houston-The Woodlands-Sugar Land,TX,3418,2.942
2011-03,2011,Fulshear,Houston-The Woodlands-Sugar Land,TX,3683,3.922
2011-03,2011,Fair Oaks Ranch,San Antonio-New Braunfels,TX,3766,4.032
