Date,ValuePerSqft,RegionID,RegionName,SizeRank
2002-06,55,25,Louisiana,25
2002-06,70,24,Kentucky,26
2002-06,101,46,Oregon,27
2002-06,50,45,Oklahoma,28
2002-06,126,11,Connecticut,29
2002-06,72,19,Iowa,30
2002-06,42,34,Mississippi,31
2002-06,48,6,Arkansas,32
2002-06,73,23,Kansas,33
2002-06,117,55,Utah,34
2002-06,97,42,Nevada,35
2002-06,88,41,New Mexico,36
2002-06,42,61,West Virginia,37
2002-06,73,38,Nebraska,38
2002-06,77,20,Idaho,39
2002-06,197,18,Hawaii,40
2002-06,105,28,Maine,41
2002-06,112,39,New Hampshire,42
2002-06,134,50,Rhode Island,43
2002-06,116,35,Montana,44
2002-06,85,13,Delaware,45
2002-06,81,52,South Dakota,46
2002-06,114,3,Alaska,47
2002-06,,37,North Dakota,48
2002-06,186,12,District of Columbia,49
2002-06,116,62,Wyoming,50
2002-07,181,9,California,1
2002-07,63,54,Texas,2
2002-07,92,43,New York,3
2002-07,81,14,Florida,4
2002-07,115,21,Illinois,5
2002-07,75,47,Pennsylvania,6
2002-07,78,44,Ohio,7
2002-07,103,30,Michigan,8
2002-07,76,16,Georgia,9
2002-07,75,36,North Carolina,10
2002-07,133,40,New Jersey,11
2002-07,93,56,Virginia,12
2002-07,116,59,Washington,13
2002-07,173,26,Massachusetts,14
2002-07,69,22,Indiana,15
2002-07,85,8,Arizona,16
2002-07,61,53,Tennessee,17
2002-07,82,32,Missouri,18
2002-07,112,27,Maryland,19
2002-07,97,60,Wisconsin,20
2002-07,129,31,Minnesota,21
2002-07,139,10,Colorado,22
2002-07,55,4,Alabama,23
2002-07,69,51,South Carolina,24
2002-07,55,25,Louisiana,25
2002-07,70,24,Kentucky,26
2002-07,101,46,Oregon,27
2002-07,50,45,Oklahoma,28
2002-07,127,11,Connecticut,29
2002-07,72,19,Iowa,30
2002-07,43,34,Mississippi,31
2002-07,48,6,Arkansas,32
2002-07,74,23,Kansas,33
2002-07,118,55,Utah,34
2002-07,98,42,Nevada,35
2002-07,89,41,New Mexico,36
2002-07,43,61,West Virginia,37
2002-07,74,38,Nebraska,38
2002-07,77,20,Idaho,39
2002-07,199,18,Hawaii,40
2002-07,106,28,Maine,41
2002-07,113,39,New Hampshire,42
2002-07,136,50,Rhode Island,43
2002-07,117,35,Montana,44
2002-07,86,13,Delaware,45
2002-07,82,52,South Dakota,46
2002-07,114,3,Alaska,47
2002-07,,37,North Dakota,48
2002-07,189,12,District of Columbia,49
2002-07,116,62,Wyoming,50
2002-08,184,9,California,1
2002-08,63,54,Texas,2
2002-08,92,43,New York,3
2002-08,82,14,Florida,4
2002-08,116,21,Illinois,5
2002-08,76,47,Pennsylvania,6
2002-08,78,44,Ohio,7
2002-08,103,30,Michigan,8
2002-08,76,16,Georgia,9
2002-08,75,36,North Carolina,10
2002-08,134,40,New Jersey,11
2002-08,93,56,Virginia,12
2002-08,116,59,Washington,13
2002-08,175,26,Massachusetts,14
2002-08,69,22,Indiana,15
2002-08,85,8,Arizona,16
2002-08,61,53,Tennessee,17
2002-08,83,32,Missouri,18
2002-08,113,27,Maryland,19
2002-08,98,60,Wisconsin,20
2002-08,129,31,Minnesota,21
2002-08,139,10,Colorado,22
2002-08,55,4,Alabama,23
2002-08,70,51,South Carolina,24
2002-08,55,25,Louisiana,25
2002-08,70,24,Kentucky,26
2002-08,101,46,Oregon,27
2002-08,50,45,Oklahoma,28
2002-08,128,11,Connecticut,29
2002-08,72,19,Iowa,30
2002-08,43,34,Mississippi,31
2002-08,48,6,Arkansas,32
2002-08,74,23,Kansas,33
2002-08,117,55,Utah,34
2002-08,98,42,Nevada,35
2002-08,89,41,New Mexico,36
2002-08,43,61,West Virginia,37
2002-08,74,38,Nebraska,38
2002-08,78,20,Idaho,39
2002-08,200,18,Hawaii,40
2002-08,106,28,Maine,41
2002-08,114,39,New Hampshire,42
2002-08,138,50,Rhode Island,43
2002-08,117,35,Montana,44
2002-08,86,13,Delaware,45
2002-08,84,52,South Dakota,46
2002-08,115,3,Alaska,47
2002-08,,37,North Dakota,48
2002-08,192,12,District of Columbia,49
2002-08,115,62,Wyoming,50
2002-09,187,9,California,1
2002-09,63,54,Texas,2
2002-09,93,43,New York,3
2002-09,83,14,Florida,4
2002-09,116,21,Illinois,5
2002-09,76,47,Pennsylvania,6
2002-09,78,44,Ohio,7
2002-09,103,30,Michigan,8
2002-09,76,16,Georgia,9
2002-09,75,36,North Carolina,10
2002-09,136,40,New Jersey,11
2002-09,94,56,Virginia,12
2002-09,117,59,Washington,13
2002-09,178,26,Massachusetts,14
2002-09,69,22,Indiana,15
2002-09,86,8,Arizona,16
2002-09,62,53,Tennessee,17
2002-09,83,32,Missouri,18
2002-09,114,27,Maryland,19
2002-09,98,60,Wisconsin,20
2002-09,130,31,Minnesota,21
2002-09,139,10,Colorado,22
2002-09,55,4,Alabama,23
2002-09,70,51,South Carolina,24
2002-09,55,25,Louisiana,25
2002-09,70,24,Kentucky,26
2002-09,102,46,Oregon,27
2002-09,50,45,Oklahoma,28
2002-09,130,11,Connecticut,29
2002-09,72,19,Iowa,30
2002-09,43,34,Mississippi,31
2002-09,49,6,Arkansas,32
2002-09,74,23,Kansas,33
2002-09,117,55,Utah,34
2002-09,98,42,Nevada,35
2002-09,88,41,New Mexico,36
2002-09,44,61,West Virginia,37
2002-09,74,38,Nebraska,38
2002-09,78,20,Idaho,39
2002-09,202,18,Hawaii,40
2002-09,107,28,Maine,41
2002-09,115,39,New Hampshire,42
2002-09,140,50,Rhode Island,43
2002-09,118,35,Montana,44
2002-09,87,13,Delaware,45
2002-09,85,52,South Dakota,46
2002-09,115,3,Alaska,47
2002-09,,37,North Dakota,48
2002-09,196,12,District of Columbia,49
2002-09,115,62,Wyoming,50
2002-10,190,9,California,1
2002-10,63,54,Texas,2
2002-10,94,43,New York,3
2002-10,84,14,Florida,4
2002-10,116,21,Illinois,5
2002-10,76,47,Pennsylvania,6
2002-10,78,44,Ohio,7
2002-10,103,30,Michigan,8
2002-10,76,16,Georgia,9
2002-10,76,36,North Carolina,10
2002-10,138,40,New Jersey,11
2002-10,94,56,Virginia,12
2002-10,117,59,Washington,13
2002-10,180,26,Massachusetts,14
2002-10,69,22,Indiana,15
2002-10,86,8,Arizona,16
2002-10,62,53,Tennessee,17
2002-10,83,32,Missouri,18
2002-10,116,27,Maryland,19
2002-10,99,60,Wisconsin,20
2002-10,131,31,Minnesota,21
2002-10,139,10,Colorado,22
2002-10,55,4,Alabama,23
2002-10,70,51,South Carolina,24
2002-10,56,25,Louisiana,25
2002-10,70,24,Kentucky,26
2002-10,102,46,Oregon,27
2002-10,51,45,Oklahoma,28
